"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
19	0.921160258868091	11	11	"Churn"	0
20	0.910210828343313	11	11	"Churn"	0
21	0.919663597269706	11	11	"Churn"	0
22	0.913472393267652	11	11	"Churn"	0
23	0.906803594351733	11	11	"Churn"	0
24	0.960067471590909	11	11	"Churn"	0
25	0.904523503881655	11	11	"Churn"	0
26	0.943272816186808	11	11	"Churn"	0
27	0.930563872255489	11	11	"Churn"	0
28	0.921282349719293	11	11	"Churn"	0
29	0.896176609848485	11	11	"Churn"	0
30	0.883596395569075	11	11	"Churn"	0
1	0.911349187661879	12	12	"Churn"	0
2	0.914984837394123	12	12	"Churn"	0
3	0.911754577282902	12	12	"Churn"	0
4	0.907356209681791	12	12	"Churn"	0
5	0.905484043979619	12	12	"Churn"	0
6	0.909329499292528	12	12	"Churn"	0
7	0.928160221531286	12	12	"Churn"	0
8	0.886407231573395	12	12	"Churn"	0
9	0.938492373366651	12	12	"Churn"	0
10	0.910291362491117	12	12	"Churn"	0
11	0.913379323746599	12	12	"Churn"	0
12	0.91294230413895	12	12	"Churn"	0
13	0.937131665313901	12	12	"Churn"	0
14	0.911058133137722	12	12	"Churn"	0
15	0.907148509628066	12	12	"Churn"	0
16	0.917964071856287	12	12	"Churn"	0
17	0.929997294467775	12	12	"Churn"	0
18	0.911331481361845	12	12	"Churn"	0
19	0.898876978050026	12	12	"Churn"	0
20	0.926947138839465	12	12	"Churn"	0
21	0.904858299595142	12	12	"Churn"	0
22	0.888262801028758	12	12	"Churn"	0
23	0.912512651821862	12	12	"Churn"	0
24	0.93181760688085	12	12	"Churn"	0
25	0.909492790285859	12	12	"Churn"	0
26	0.925144927536232	12	12	"Churn"	0
27	0.897731523378582	12	12	"Churn"	0
28	0.91931221719457	12	12	"Churn"	0
29	0.941420685513673	12	12	"Churn"	0
30	0.925718122092744	12	12	"Churn"	0
1	0.909237955797253	13	13	"Churn"	0
2	0.945941022153129	13	13	"Churn"	0
3	0.899007337073802	13	13	"Churn"	0
4	0.886410984848485	13	13	"Churn"	0
5	0.933500192052734	13	13	"Churn"	0
6	0.924721458089962	13	13	"Churn"	0
7	0.899856536926148	13	13	"Churn"	0
8	0.913157479249368	13	13	"Churn"	0
9	0.940989326765189	13	13	"Churn"	0
10	0.891730196679899	13	13	"Churn"	0
11	0.871949850299401	13	13	"Churn"	0
12	0.880964734027988	13	13	"Churn"	0
13	0.909714523281596	13	13	"Churn"	0
14	0.886962489737274	13	13	"Churn"	0
15	0.915293314982767	13	13	"Churn"	0
16	0.92626621756487	13	13	"Churn"	0
