"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
14	0.988876529477197	10	13	"Corte 1"	"Yes"	0.1
15	0.969433719433719	8	13	"Corte 1"	"Yes"	0.1
16	0.971617630974516	9	13	"Corte 1"	"Yes"	0.1
17	0.959693691503586	10	13	"Corte 1"	"Yes"	0.1
18	0.980492757547042	9	13	"Corte 1"	"Yes"	0.1
19	0.980212355212355	8	13	"Corte 1"	"Yes"	0.1
20	0.979017857142857	10	13	"Corte 1"	"Yes"	0.1
21	0.986228186405796	7	13	"Corte 1"	"Yes"	0.1
22	0.975115740740741	8	13	"Corte 1"	"Yes"	0.1
23	0.97482050259274	8	13	"Corte 1"	"Yes"	0.1
24	0.985114600659694	9	13	"Corte 1"	"Yes"	0.1
25	0.981773843421387	9	13	"Corte 1"	"Yes"	0.1
26	0.979899072481746	11	13	"Corte 1"	"Yes"	0.1
27	0.977675913799262	8	13	"Corte 1"	"Yes"	0.1
28	0.973957549300015	9	13	"Corte 1"	"Yes"	0.1
29	0.95153452685422	10	13	"Corte 1"	"Yes"	0.1
30	0.987307000094724	7	13	"Corte 1"	"Yes"	0.1
1	0.96042471042471	9	14	"Corte 1"	"Yes"	0.1
2	0.982887429167489	8	14	"Corte 1"	"Yes"	0.1
3	0.983180048057006	9	14	"Corte 1"	"Yes"	0.1
4	0.975888640318171	9	14	"Corte 1"	"Yes"	0.1
5	0.98062865497076	10	14	"Corte 1"	"Yes"	0.1
6	0.992921492921493	9	14	"Corte 1"	"Yes"	0.1
7	0.982061479824343	11	14	"Corte 1"	"Yes"	0.1
8	0.980791379795756	7	14	"Corte 1"	"Yes"	0.1
9	0.987290862290862	7	14	"Corte 1"	"Yes"	0.1
10	0.975056450398916	10	14	"Corte 1"	"Yes"	0.1
11	0.975223214285714	9	14	"Corte 1"	"Yes"	0.1
12	0.973374551256482	8	14	"Corte 1"	"Yes"	0.1
13	0.986854608805828	9	14	"Corte 1"	"Yes"	0.1
14	0.978764478764479	7	14	"Corte 1"	"Yes"	0.1
15	0.98600948097727	8	14	"Corte 1"	"Yes"	0.1
16	0.988474306201036	8	14	"Corte 1"	"Yes"	0.1
17	0.976688741721854	8	14	"Corte 1"	"Yes"	0.1
18	0.9661489664224	8	14	"Corte 1"	"Yes"	0.1
19	0.984441649349229	9	14	"Corte 1"	"Yes"	0.1
20	0.981147902869757	8	14	"Corte 1"	"Yes"	0.1
21	0.982464607464608	9	14	"Corte 1"	"Yes"	0.1
22	0.988169642857143	9	14	"Corte 1"	"Yes"	0.1
23	0.991125827814569	10	14	"Corte 1"	"Yes"	0.1
24	0.98471685971686	7	14	"Corte 1"	"Yes"	0.1
25	0.977792634009967	9	14	"Corte 1"	"Yes"	0.1
26	0.978940397350993	10	14	"Corte 1"	"Yes"	0.1
27	0.982333829700826	9	14	"Corte 1"	"Yes"	0.1
28	0.963084795321637	8	14	"Corte 1"	"Yes"	0.1
29	0.970229201319388	9	14	"Corte 1"	"Yes"	0.1
30	0.991985299867073	8	14	"Corte 1"	"Yes"	0.1
1	0.961172663986665	8	15	"Corte 1"	"Yes"	0.1
2	0.971685971685972	8	15	"Corte 1"	"Yes"	0.1
3	0.990180551156161	8	15	"Corte 1"	"Yes"	0.1
4	0.989772727272727	8	15	"Corte 1"	"Yes"	0.1
5	0.960749237083026	11	15	"Corte 1"	"Yes"	0.1
6	0.95882800608828	8	15	"Corte 1"	"Yes"	0.1
7	0.973247863247863	8	15	"Corte 1"	"Yes"	0.1
8	0.9896611596338	8	15	"Corte 1"	"Yes"	0.1
9	0.990401785714286	8	15	"Corte 1"	"Yes"	0.1
10	0.983846153846154	9	15	"Corte 1"	"Yes"	0.1
11	0.970394736842105	9	15	"Corte 1"	"Yes"	0.1
12	0.952832768237996	8	15	"Corte 1"	"Yes"	0.1
